topic,cluster,x,y
drug,0,6.3916335,11.478637
cell,2,14.642848,4.9896297
vaccine,1,6.590436,5.8413935
sample,5,6.619285,2.8952062
patient,3,7.4776835,-1.8489618
cell,2,14.642087,3.7796733
patient,3,8.651256,-2.8296337
vaccine,1,7.401449,8.950352
patient,3,8.710859,-3.073465
health,0,5.567241,7.5117083
health,6,-2.4306157,3.727278
protein,4,10.817907,10.273646
health,6,-0.17711747,4.0562496
protein,4,10.790988,10.274438
health,6,1.5856434,3.509362
health,6,-1.4428301,2.7718487
patient,3,4.9718413,-1.8824241
health,6,-2.8970642,4.456786
cell,2,12.01793,2.1916683
vaccine,1,8.5941105,8.038111
patient,2,11.843989,2.0404565
vaccine,1,9.011388,8.351374
health,6,-1.188555,3.8232267
sample,5,5.8031683,1.1477212
cell,2,12.43147,5.053556
sample,5,3.1219165,3.0382285
sample,5,5.793195,3.0983403
cell,2,14.71655,3.7209172
protein,4,7.4378514,3.622839
health,6,0.022135628,1.5278844
vaccine,1,6.8315406,6.181468
patient,3,8.685416,-3.4254558
sample,5,6.3334994,2.769247
drug,0,6.238464,11.525843
patient,3,6.9002748,-2.87967
drug,0,7.889851,11.524616
cell,2,14.401999,3.7125545
patient,3,2.89685,-0.6580696
cell,2,13.9423,3.4662633
sample,5,4.353097,2.6318107
drug,0,5.066257,10.546216
sample,5,5.301495,3.973722
protein,1,9.845969,9.258126
patient,3,9.1173935,-3.3506107
protein,4,13.550357,11.570669
patient,3,6.112675,-2.4743671
vaccine,1,7.082041,7.6232157
patient,3,6.7102895,-2.786859
sample,5,5.710976,1.9306825
patient,3,2.9223683,-0.65533346
protein,4,13.218101,13.209857
patient,3,9.081251,-4.0059443
health,6,-1.3112056,3.8669662
sample,3,6.181073,0.4334976
health,6,-3.111568,4.5401616
protein,4,11.994447,12.459318
cell,2,14.788073,3.708927
cell,2,14.216934,6.633295
protein,4,11.82484,11.173184
vaccine,1,7.111931,7.0469837
vaccine,1,8.582695,8.04093
vaccine,1,6.574824,5.808052
drug,0,5.7069077,11.341457
protein,1,9.746333,9.184049
vaccine,1,8.552827,8.012419
protein,4,13.482574,13.65338
protein,4,13.350173,10.009506
sample,5,3.409784,3.1433897
cell,2,13.942599,3.1140623
sample,5,6.3549232,1.9381675
sample,5,4.0403843,2.788395
patient,3,7.8090014,-2.923458
sample,5,5.482822,2.2689865
cell,2,12.366631,2.2655447
cell,2,14.044879,7.262386
vaccine,1,8.060583,7.267462
protein,4,12.776294,12.885549
sample,5,5.590171,3.148837
sample,5,6.50807,1.992613
vaccine,1,6.731112,6.123475
protein,4,13.563245,8.989304
drug,0,11.005858,3.8562176
patient,3,9.273173,-4.2469797
cell,2,14.874316,3.6922832
health,6,-1.515871,2.8333745
sample,5,5.5538907,3.7951374
health,6,-1.937293,3.7845452
patient,3,3.1167784,-0.7792291
health,6,1.5286642,0.3470308
cell,2,14.555655,3.7468295
vaccine,1,7.468587,6.9827046
cell,2,14.017888,3.1763268
drug,0,6.6741977,11.993995
health,6,1.0814953,0.7138886
sample,5,5.317061,3.0608811
drug,0,5.127618,10.623562
vaccine,1,6.605436,7.5723834
vaccine,1,9.375835,8.825776
patient,3,8.108238,-2.8763146
sample,5,5.4370747,3.4096754
health,6,-1.9209294,4.1922035
patient,3,9.2987995,-4.266799
protein,4,13.453057,11.885767
health,6,0.1289284,1.4460437
cell,2,13.247784,3.7112021
health,6,1.2903514,0.5131264
drug,0,5.183567,10.7101555
vaccine,5,6.9878063,6.0067496
patient,3,6.150182,-2.202069
cell,2,12.533485,4.9810586
protein,4,13.418199,13.579305
vaccine,1,9.366045,6.9860234
cell,2,14.764313,3.6032631
drug,0,6.504857,11.100684
drug,0,11.4892845,3.127605
cell,2,14.085579,7.234494
sample,0,4.0909204,3.237028
cell,2,12.074443,5.2197986
drug,0,7.0442314,11.716155
patient,3,9.11205,-3.3610783
drug,0,8.048279,11.625097
health,2,9.752526,12.925566
protein,4,13.306752,9.890512
patient,3,9.222184,-4.1924477
vaccine,1,9.162223,8.53563
cell,0,11.751041,3.6815174
sample,3,6.130514,0.5867541
sample,5,5.6969366,4.177541
protein,4,7.3725166,3.5556471
patient,3,9.120578,-3.3681347
cell,2,14.674313,4.709069
vaccine,1,7.9011836,7.856584
cell,2,11.665228,5.6050844
health,6,-2.9509199,4.361035
drug,0,5.603171,11.05013
drug,0,5.1744633,10.660927
protein,4,11.215264,12.152395
cell,2,14.889693,3.5151143
patient,3,3.5864508,-1.0719277
vaccine,1,10.2900715,6.506833
cell,2,12.435307,3.5365157
cell,2,14.593227,4.018192
health,6,2.5198627,3.317052
protein,4,13.439022,13.604671
patient,3,8.627534,-3.3011255
drug,0,6.533252,11.9285345
health,6,-2.1983109,3.890167
cell,2,13.045744,3.6885014
vaccine,1,8.21821,6.287343
vaccine,1,7.0714636,6.4785724
sample,5,5.688225,2.433041
cell,2,14.146913,4.3398337
health,6,-1.4878567,3.5621064
protein,4,11.882781,11.193539
vaccine,1,7.838502,7.8623714
patient,3,8.654342,-3.6687605
drug,0,7.14372,9.9954405
cell,5,13.3924675,5.1205955
vaccine,1,7.802047,8.014625
sample,5,5.2663817,2.3156192
cell,2,12.545532,2.401534
sample,5,5.728248,4.1955047
health,6,0.72832996,0.9665147
patient,3,9.009814,-3.9714956
sample,5,5.59701,1.6369689
cell,2,12.224493,2.230845
patient,3,8.486327,-3.566261
patient,3,8.914795,-3.8862696
protein,4,13.384613,11.77162
health,6,-1.2464552,3.8226738
sample,5,6.549524,1.9830726
patient,2,12.041693,2.1038744
vaccine,1,9.593198,8.772853
cell,2,13.917442,4.5611477
health,6,9.213177,13.232657
protein,4,12.780428,12.94482
patient,3,8.198292,-3.2459621
protein,4,12.937128,13.445828
health,6,1.1038357,3.6420183
health,6,1.897854,3.4457085
sample,5,5.813767,2.5444062
cell,2,14.594351,5.2460475
cell,2,14.505508,4.051134
protein,4,10.199577,12.917955
cell,2,12.722876,2.535882
sample,5,6.946019,3.1757748
cell,2,11.778099,5.5052853
health,6,9.274375,13.199877
cell,2,11.452118,5.6583686
health,6,-1.5048943,3.9975636
health,6,-3.1141984,4.5323596
health,6,0.06562452,1.4673041
drug,0,7.8976603,11.635824
patient,3,7.12275,-1.1660017
protein,4,13.114797,13.0988035
vaccine,1,8.992809,7.106167
health,6,0.73250943,3.729645
cell,2,13.0507345,3.6837766
patient,3,6.86636,-1.7543942
cell,2,14.223048,6.4756727
protein,0,9.03953,11.664463
protein,1,9.670752,9.084493
cell,2,14.754662,3.6757414
patient,1,6.972013,-0.8301976
health,3,2.5324206,-0.38840666
vaccine,1,8.067588,7.7740197
health,6,5.582375,7.442603
protein,0,10.86704,12.032748
protein,4,12.981259,11.907254
patient,3,6.0935273,-2.4644341
protein,0,8.955782,11.817952
vaccine,1,8.261723,7.195056
patient,3,7.023872,-1.5616341
cell,5,13.606479,5.4039497
protein,1,9.709037,9.131857
health,6,9.157706,13.242217
sample,5,5.375764,2.1395893
cell,2,14.084983,7.2728786
health,6,-0.19013911,1.9358268
vaccine,1,8.275155,6.2225504
cell,2,14.049004,7.3367357
sample,5,4.7427235,2.684106
sample,6,2.7638395,3.270295
health,6,1.2744622,0.54019445
health,6,5.1550164,7.340385
health,6,-1.9183705,4.1960893
protein,4,10.7740965,10.237623
protein,4,13.417867,13.582057
cell,2,12.672192,4.8052607
sample,6,3.1595528,3.1833856
health,6,-1.2227992,4.827803
vaccine,1,7.1915226,6.593951
cell,2,13.810887,4.089374
protein,4,13.453977,13.619597
protein,4,10.805919,10.262436
patient,3,7.9921026,-3.6045392
protein,4,12.818462,13.049297
patient,3,6.865587,-1.3802811
cell,2,14.438819,3.5805655
protein,4,12.198368,12.64533
protein,4,11.885119,12.372266
vaccine,1,9.9839,6.684059
sample,5,3.2256603,3.1876867
vaccine,1,7.243081,7.681624
health,6,-2.9029474,4.354905
health,3,2.7351167,-0.5313514
vaccine,1,7.9855404,6.538305
health,6,0.21593675,3.9147534
cell,2,14.267797,6.359349
health,6,-2.518172,4.114475
sample,5,6.0178204,0.8966809
health,6,-1.6044692,2.9087453
vaccine,1,7.941404,7.836012
cell,2,13.315587,3.543095
drug,0,6.2007585,11.622322
drug,0,7.1060386,11.723556
health,6,-2.2734165,3.7939837
protein,2,13.402,10.1960535
health,6,5.112163,7.339561
protein,4,11.898507,11.252061
patient,3,7.7485247,-3.4551702
cell,2,12.919971,2.6840396
sample,5,5.842426,4.445248
protein,4,13.100976,10.649584
protein,4,13.349364,9.993221
sample,5,6.7638993,3.0279095
cell,2,14.596296,5.13241
vaccine,6,5.901845,7.4110637
vaccine,1,6.775142,6.108893
health,6,-2.6001003,3.8824337
patient,3,7.3793993,-3.2097287
